名称,郵便番号,住所,URL,コメント,電話番号,FAX番号,EMAIL,写真,担当課,経度,緯度,分類
東北大学病院,980-8574,仙台市青葉区星陵町1-1,http://www.hosp.tohoku.ac.jp/,,022-717-7000,,,,健康福祉局保健医療課,140.8610281,38.27198158,病院
宮城県立こども病院,989-3126,仙台市青葉区落合4-3-17,http://www.miyagi-children.or.jp/,,022-391-5111,,,,健康福祉局保健医療課,140.7824778,38.27494275,病院
仙台逓信病院,980-0021,仙台市青葉区中央4-5-1,http://www.hospital.japanpost.jp/sendai/,,022-268-3150,,,,健康福祉局保健医療課,140.8771551,38.25759917,病院
独立行政法人労働者健康福祉機構　東北労災病院,981-8563,仙台市青葉区台原4-3-21,http://www.tohokuh.rofuku.go.jp/,,022-275-1111,,,,健康福祉局保健医療課,140.8757165,38.28430869,病院
独立行政法人地域医療機能推進機構　仙台病院,981-8501,仙台市青葉区堤町3-16-1,http://www.sendai-shaho.com/,,022-275-3111,,,,健康福祉局保健医療課,140.8702163,38.29093618,病院
東北公済病院,980-0803,仙台市青葉区国分町2-3-11,http://www.tohokukosai.com/,,022-227-2211,,,,健康福祉局保健医療課,140.8681427,38.2626853,病院
仙台厚生病院,980-0873,仙台市青葉区広瀬町4-15,http://www.sendai-kousei-hospital.jp/,,022-222-6181,,,,健康福祉局保健医療課,140.8574975,38.26983221,病院
内科佐藤病院,980-0011,仙台市青葉区上杉2-3-17,http://www.shukokai.or.jp/,,022-221-5566,,,,健康福祉局保健医療課,140.8692758,38.27288885,病院
早坂愛生会病院,980-0855,仙台市青葉区川内澱橋通38,,,022-261-1611,,,,健康福祉局保健医療課,140.8558759,38.26510072,病院
国見台病院,981-0943,仙台市青葉区国見1-15-22,http://www.kunimidai.com/,,022-234-5251,,,,健康福祉局保健医療課,140.8446041,38.27815519,病院
ＪＲ仙台病院,980-8508,仙台市青葉区五橋1-1-5,http://www.jr-hospital.aoba.sendai.jp/,,022-266-9671,,,,健康福祉局保健医療課,140.8807654,38.25570032,病院
医療法人ひろせ会広瀬病院,989-3121,仙台市青葉区郷六字大森4-2,http://www.hirosehos.jp/,,022-226-2661,,,,健康福祉局保健医療課,140.8109595,38.25481285,病院
東北会病院,981-0933,仙台市青葉区柏木1-8-7,http://www.tohokukai.com/,,022-234-0461,,,,健康福祉局保健医療課,140.8605952,38.27538787,病院
宮城中央病院,980-0011,仙台市青葉区上杉1-9-17,http://www.miyachu-hp.or.jp/,,022-224-1307,,,,健康福祉局保健医療課,140.8711285,38.2711691,病院
貝山中央病院,980-0804,仙台市青葉区大町2-12-8,http://www.kaiyama.com/,,022-222-5945,,,,健康福祉局保健医療課,140.866723,38.26070987,病院
医療法人宏人会木町病院,980-0801,仙台市青葉区木町通1-7-13,http://www.koujinkai-med.or.jp/,,022-224-5511,,,,健康福祉局保健医療課,140.8633998,38.2702366,病院
西仙台病院,989-3212,仙台市青葉区芋沢字新田54-4,http://www.ims.gr.jp/nishisendai-hp/,,022-394-5721,,,,健康福祉局保健医療課,140.7429268,38.27559681,病院
伊藤病院,980-0802,仙台市青葉区二日町8-8,http://st.cat-v.ne.jp/ito.hospital/,,022-222-8688,,,,健康福祉局保健医療課,140.8663367,38.26976373,病院
台原高柳病院,981-0911,仙台市青葉区台原6-3-33,,,022-273-2525,,,,健康福祉局保健医療課,140.8773604,38.28096076,病院
仙台中江病院,980-0001,仙台市青葉区中江1-10-18,http://www9.plala.or.jp/snh/,,022-263-3031,,,,健康福祉局保健医療課,140.889614,38.27440939,病院
エコー療育園,989-3212,仙台市青葉区芋沢字横前1-1,http://www.yokofuku.or.jp/echosmid/,,022-394-7711,,,,健康福祉局保健医療課,140.7588028,38.29276553,病院
平成眼科病院,989-3121,仙台市青葉区郷六字沼田13-3,http://www.heisei-oph.or.jp/,,022-302-1066,,,,健康福祉局保健医療課,140.814942,38.26332597,病院
杜のホスピタル・あおば,980-0871,仙台市青葉区八幡6-9-3,http://www.shosinkai.jp/,,022-718-8871,,,,健康福祉局保健医療課,140.83484,38.26602145,病院
独立行政法人国立病院機構　仙台医療センター,983-8520,仙台市宮城野区宮城野2-8-8,http://www.snh.go.jp/,,022-293-1111,,,,健康福祉局保健医療課,140.9070511,38.26124484,病院
自衛隊仙台病院,983-0041,仙台市宮城野区南目館1-1,,,022-231-1111,,,,健康福祉局保健医療課,140.9157444,38.26204942,病院
東北薬科大学病院,983-8512,仙台市宮城野区福室1-12-1,http://www.hosp.tohoku-pharm.ac.jp/,,022-259-1221,,,,健康福祉局保健医療課,140.9667457,38.26930688,病院
国家公務員共済組合連合会　東北公済病院宮城野分院,983-0833,仙台市宮城野区東仙台4-16-1,http://www.tohokukosai.com/miyagino/,,022-293-7711,,,,健康福祉局保健医療課,140.9112427,38.27785102,病院
青葉病院,983-0836,仙台市宮城野区幸町3-15-20,http://www.aobahp.or.jp/,,022-257-7586,,,,健康福祉局保健医療課,140.9038864,38.27718425,病院
光ヶ丘スペルマン病院,983-0833,仙台市宮城野区東仙台6-7-1,http://www.spellman.or.jp/,,022-257-0231,,,,健康福祉局保健医療課,140.9112293,38.27911945,病院
