名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
地域避難場所（通町公園）,仙台市青葉区青葉町183-2,"2,237(㎡)","1,100(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8633048,38.28107685,地域避難場所
地域避難場所（広瀬川澱緑地）,仙台市青葉区角五郎１丁目地先,"24,533(㎡)","12,200(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8495641,38.26358765,地域避難場所
地域避難場所（広瀬川牛越緑地）,仙台市青葉区荒巻字三居沢地先,"26,039(㎡)","13,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8412129,38.26843769,地域避難場所
地域避難場所（北三番丁公園）,仙台市青葉区木町通1-343,"4,357(㎡)","2,100(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8644433,38.27050162,地域避難場所
地域避難場所（勾当台公園）,仙台市青葉区本町3-9-2 外,"26,887(㎡)","13,400(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8720106,38.26733893,地域避難場所
地域避難場所（錦町公園）,仙台市青葉区本町2-21-1,"17,381(㎡)","8,600(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.875185,38.26614362,地域避難場所
地域避難場所（宮城教育大学付属小・中学校）,仙台市青葉区上杉6-4-1,"17,604(㎡)","8,800(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8765701,38.27721967,地域避難場所
地域避難場所（上杉公園）,仙台市青葉区上杉4-239-3 外,"4,377(㎡)","2,100(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8798151,38.27125147,地域避難場所
地域避難場所（常盤木学園高等学校）,仙台市青葉区小田原4-3-20,"2,600(㎡)","1,300(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8904461,38.26931545,地域避難場所
地域避難場所（評定河原グラウンド）,仙台市青葉区花壇70-1,"27,203(㎡)","13,600(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.8645957,38.25485758,地域避難場所
地域避難場所（宮城広瀬総合運動場）,仙台市青葉区上愛子字松原39-1,"30,240(㎡)","15,100(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,指定避難所の確保がむずかしい地域の一時的な避難広場で，比較的大きい公園などが指定されています。,,,危機管理室減災推進課,140.7394572,38.27341867,地域避難場所
