名称,郵便番号,住所,URL,コメント,電話番号,FAX番号,EMAIL,写真,担当課,経度,緯度,分類
仙台市総合観光案内所（仙台駅2F）,980-0021,仙台市青葉区中央1-1-1 JR仙台駅2F,http://www.stcb.or.jp/?page_id=22,バス乗り場や鉄道などのアクセス案内から名物 ･名産品に至るまで、仙台市の観光全般に関わるご紹介をしております。通訳のできるメンバーも随時待機しておりますので外国の方にも安心してご利用いただけます。,022-222-4069,022-222-3269,,,経済局観光交流課,140.8820805,38.2608319,観光施設
秋保工芸の里,982-0241,仙台市太白区秋保町湯元字上原５４,http://www.city.sendai.jp/keizai/kankou/kougeinosato/index.html,古くから受け継がれてきた伝統工芸の職人たち、9つの工房が仕事を行い、生活をしています。仙台箪笥、こけし、独楽、埋もれ木細工、染織、木彫など業種はさまざま。職人の技をすぐ近くで見学することができるほか、気に入った伝統工芸品があればそちらを購入・注文することもできます。自然素材と職人の手によって丹精込められて作られた工芸品たちは、使い込めば使い込むほど独特の味わいと愛着が生まれます。あなただけのこだわりの逸品を探しに出掛けてみてください。,022-398-2673<br>代表連絡先 玩愚庵こけし,,,,経済局観光交流課,140.7210357,38.22073005,観光施設
作並温泉,989-3431,仙台市青葉区作並,http://www.sakunami-spa.com/,湯は谷底に湧き、元湯と新湯があります。温泉は養老5（721）年、僧行基が東北巡錫のおり発見したと言われ、文治5（1189）年、頼朝の軍勢もここに兵馬を休めたという伝説があります。温泉宿ができたのは、寛政8（1796）年のことで、岩松喜惣治が藩の許可を得て元湯を開きました。新湯は「神の湯」と呼ばれ、安政元年（1854）、僧秀泉が開湯したとされています。今では「美女づくりの湯」として親しまれ、全国各地から観光客が訪れます。,022-395-2052仙台市宮城地区観光案内所,,,,経済局観光交流課,140.6138408,38.33199837,観光施設
秋保温泉,982-0241,仙台市太白区秋保町湯元,http://akiuonsenkumiai.com/,名取川の上流にあり、「仙台の奥座敷」ともいうべき温泉郷です。欽明天皇御代（531～571年）に開湯されたと言われ、疱瘡を患った天皇がこの湯を都へ取り寄せ、しばらくの間入浴すると跡形もなく治ったという伝説があります。古くは「名取の御湯」と呼ばれ、有馬・道後の湯と並んで「日本三御湯」の一つに称されました。藩政時代には伊達家の入湯場が置かれていました。近くには、磊々峡、秋保工芸の里、天守閣自然公園、秋保森林スポーツ公園などがあります。,022-398-2323秋保温泉郷観光案内所,,,,経済局観光交流課,140.7189982,38.22767172,観光施設
東北大学植物園,980-0862,仙台市青葉区川内１２－２,http://www.biology.tohoku.ac.jp/garden/,仙台城跡が位置する広瀬川の西方に続く丘陵地一帯で、現在は大部分が国指定天然記念物の植物園となっています。,022-795-6760,022-795-6766,,,経済局観光交流課,140.8514539,38.25597023,観光施設
奥新川ライン,,仙台市青葉区新川,http://www.sentabi.jp/guidebook/attractions/view/65,仙山線奥新川駅から面白山方面に伸びる深い渓谷沿いのハイキングコースです。,,,,,経済局観光交流課,140.5878393,38.32826068,観光施設
鎌倉山,,仙台市青葉区作並,,国道48号線沿いにある、ドーム型の山です。ある角度から見ると似ていることから、地元の人には「ゴリラ山」と呼ばれて親しまれています。,,,,,経済局観光交流課,140.6439114,38.31877581,観光施設
鳴合峡谷,,仙台市青葉区芋沢,,広瀬川が作並方面から流れ落ち、郷六盆地へ注ぎ込もうとする谷間の静かな谷間です。,,,,,経済局観光交流課,140.7359337,38.27694007,観光施設
新川ライン,,仙台市青葉区新川,http://www.sentabi.jp/guidebook/attractions/view/65,新川から仙山線奥新川駅までの様々な風景が楽しめるハイキングコースです。,,,,,経済局観光交流課,140.60862,38.31953966,観光施設
蕃山（ばんざん）,,仙台市青葉区茂庭字蕃山,http://www.city.sendai.jp/kensetsu/ryokka/midori100/guide/030/030.html,市街地の西部に位置する「蕃山」「西風蕃山」「蛇台蕃山」の三つの峰からなる里山です。いくつかの登山コースがあり、どのコースも登山口から１時間位で頂上へ着くことができます。  また、野鳥や昆虫、ニホンカモシカ、キツネなどの動物が生息する自然の宝庫として知られています。モミ、イヌブナの巨木やアカマツが点在する林の中を歩くと、カタクリの花や新芽で春の訪れを知り、濃い緑陰で暑い夏をひととき忘れ、色づき始める木々の葉で秋の気配を感じ、落葉する木々で冬の訪れを知るなど、四季の移ろいを身近に感られます。,,,,,経済局観光交流課,140.7914007,38.25550439,観光施設
