名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
広域避難場所（台原森林公園）,仙台市青葉区北根地内,"45,000(㎡)","22,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.8805819,38.30043376,広域避難場所
広域避難場所（西公園）,仙台市青葉区桜ケ岡公園,"92,000(㎡)","46,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.8618371,38.26225761,広域避難場所
広域避難場所（宮城野原公園総合運動場）,仙台市宮城野区宮城野2-11-6,"74,000(㎡)","37,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.9025395,38.25783935,広域避難場所
広域避難場所（榴岡公園）,仙台市宮城野区五輪1,"112,000(㎡)","56,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.8970328,38.26067545,広域避難場所
広域避難場所（広瀬川若林緑地）,仙台市若林区若林地先,"56,000(㎡)","28,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.8978968,38.22887716,広域避難場所
広域避難場所（広瀬川中河原緑地）,仙台市若林区南小泉字河原地先,"28,000(㎡)","14,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.9033425,38.22590993,広域避難場所
広域避難場所（広瀬川八本松緑地）,仙台市太白区八本松地先,"27,000(㎡)","13,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.895365,38.22947199,広域避難場所
広域避難場所（広瀬川飯田緑地）,仙台市太白区飯田字河原95-1外,"22,000(㎡)","11,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.9021205,38.22453477,広域避難場所
広域避難場所（三神峯公園）,仙台市太白区三神峯1,"15,000(㎡)","7,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.8578044,38.22559066,広域避難場所
広域避難場所（七北田公園）,仙台市泉区七北田字赤生津外,"48,000(㎡)","24,000(人)",,http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,火災の広がりにより指定避難所などにとどまることができないような場合の避難広場で，面積の大きな公園などが指定されています。,,,危機管理室減災推進課,140.8764907,38.31998371,広域避難場所
