名称,住所,避難場所面積,避難場所の収容可能人員,避難施設の収容可能人員,URL,コメント,電話番号,写真,担当課,経度,緯度,分類
指定避難所（桜丘小学校）,仙台市青葉区桜ケ丘8-1-1,"14,027(㎡)","7,000(人)",723(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8495693,38.30365386,指定避難所
指定避難所（中山中学校）,仙台市青葉区中山6-16-1,"11,383(㎡)","5,600(人)",898(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8395597,38.29633791,指定避難所
指定避難所（中山小学校）,仙台市青葉区中山1-6-1,"9,851(㎡)","4,900(人)",890(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8507201,38.29174713,指定避難所
指定避難所（北仙台中学校）,仙台市青葉区東勝山2-31-1,"14,449(㎡)","7,200(人)",852(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8635573,38.29276992,指定避難所
指定避難所（台原小学校）,仙台市青葉区台原5-16-1,"8,980(㎡)","4,400(人)","1,070(人)",http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8798745,38.28590798,指定避難所
指定避難所（旭丘小学校）,仙台市青葉区旭ケ丘3-27-1,"7,409(㎡)","3,700(人)",787(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8860031,38.2966989,指定避難所
指定避難所（荒巻小学校）,仙台市青葉区荒巻神明町21-1,"7,324(㎡)","3,600(人)",797(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8572144,38.28659531,指定避難所
指定避難所（国見小学校）,仙台市青葉区国見2-16-1,"5,407(㎡)","2,700(人)",991(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8446883,38.2768098,指定避難所
指定避難所（三条中学校）,仙台市青葉区三条町3-1,"10,011(㎡)","5,000(人)",960(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8543371,38.28044312,指定避難所
指定避難所（通町小学校）,仙台市青葉区通町1-1-1,"3,969(㎡)","1,900(人)",694(人),http://www.city.sendai.jp/kurashi/shobo/saigai/1188545_1388.html,避難のための広場と建物を備えた施設で，市立の小学校，中学校，高等学校が指定されています。,,/sendaicity-html/pict/80101_001.jpg,危機管理室減災推進課,140.8631334,38.27673287,指定避難所
